연도,읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지),데이터기준일
2019,대천동,생산량,2119,18005,195,852,984,5924,127,2024-05-13
2019,중문동,농가수,142,750,7,20,17,236,16,2024-05-13
2019,중문동,면적,109,488,3,8,11,98,17,2024-05-13
2019,중문동,생산량,2775,14858,135,560,304,3465,176,2024-05-13
2019,예래동,농가수,205,540,4,22,20,135,18,2024-05-13
2019,예래동,면적,188,352,2,10,10,71,22,2024-05-13
2019,예래동,생산량,4688,11837,80,631,381,1681,117,2024-05-13
2020,대정읍,농가수,101,651,10,8,45,400,16,2024-05-13
2020,대정읍,면적,94.6,515,9,3,33,233.1,5.6,2024-05-13
2020,대정읍,생산량,2400,19575,333,200,1015,4943.4,50.5,2024-05-13
2020,남원읍,농가수,437,2889,48,491,591,1766,114,2024-05-13
2020,남원읍,면적,284.1,2259.5,41,220.9,380,780.8,77,2024-05-13
2020,남원읍,생산량,7990,90340,1552,15411,12797,20601,568,2024-05-13
2020,성산읍,농가수,90,982,9,8,29,329,63,2024-05-13
2020,성산읍,면적,59,816.4,7,6,26,130.2,44.5,2024-05-13
2020,성산읍,생산량,1382,27289,259,280,495,2874,240.5,2024-05-13
2020,안덕면,농가수,172,861,6,26,60,271,83,2024-05-13
2020,안덕면,면적,152,705,6,11,38,147.2,72.2,2024-05-13
2020,안덕면,생산량,4111,28015,222,767,1232,3074,442,2024-05-13
2020,표선면,농가수,153,916,6,92,112,874,47,2024-05-13
2020,표선면,면적,130.8,898,5,35,70.5,357.6,38,2024-05-13
2020,표선면,생산량,3663,34990,185,2460,2284,7244,208,2024-05-13
2020,송산동,농가수,40,143,1,26,20,117,16,2024-05-13
2020,송산동,면적,23,90,1,11,13,64.3,9.2,2024-05-13
2020,송산동,생산량,620,3491,37,750,407,1243,57,2024-05-13
2020,천지동,농가수,3,7,1,0,0,18,39,2024-05-13
2020,천지동,면적,2,5.7,0.5,0,0,6.3,3.1,2024-05-13
2020,천지동,생산량,55,221,18.5,0,0,121,21,2024-05-13
